Estado;Referencia;Nombre;Categoría;Descripción corta;Descripción;Tallas;Colores;Precio sin IVA;Precio con IVA;URL imágenes;Fabricante;Fecha última modificación
Activo;LFNSSM-B-101;Bikini besame;Verano,Bikinis;"Espectacular bikini con flecos y anillas doradas en los laterales de la braguita.";"<p>Bikini flecos con braguita.  </p>
<p>Sensacional bikini sin aro y tirantes que se enganchan al cuello en forma de V.</p>
<p>Elige el color que más te guste.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";S,M,L;Blanco,Rojo,Naranja,Azul Celeste;13.50;16.34;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1011.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1013.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1014.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10119.jpg;Lencería Finíssima;2015-02-16 18:17:30
Activo;LFNSSM-B-104;Bikini Pasión;Verano,Bikinis;"Sensacional bikini en diferentes diseño.";"<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Bikini pasión con braguita.  </p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Sensacional bikini con aro y tirantes que se enganchan al cuello en forma de V.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">79% Naylon.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">21% Elastano.</p>";S,M,L;Negro,Azul,Rojo,Leopardo;16.50;19.97;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1045.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_2.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_3.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_4.jpg;Lencería Finíssima;2015-02-17 15:00:54
Activo;LFNSSM-B-105;Bikini Colores;Verano,Bikinis;"Bikini tres tiras.";"<p>Bikini colores con braguita.  </p>
<p>Sensacional bikini sin aro, diseño palabra de honor.</p>
<p>Incluye tirantes a juego.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";S,M,L;Verde,Blanco,Rojo,Rosa,Azul;15.00;18.15;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10511.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_2.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_3.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_4.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_5.jpg;Lencería Finíssima;2015-02-16 18:30:52
Activo;LFNSSM-B-107;Bikini Silencio;Verano,Bikinis;"Bikini espectacular para pasar un buen verano.<br>Elige tú colores.";"<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Bikini silencio con braguita.  </p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Sensacional bikini con aro y tirantes que se enganchan al cuello en forma de V.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">79% Naylon.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">21% Elastano.</p>";S,M,L;Verde,Rosa,Negro,Naranja;15.00;18.15;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-107_2.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1076.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-107_4.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-107_3.jpg;Lencería Finíssima;2015-02-17 15:37:16
Activo;LFNSSM-B-109;Bikini estrella;Verano,Bikinis;"Bikini con destellos en la parte superior del pecho.";"<p>Bikini estrella con braguita.  </p>
<p>Sensacional bikini sin aro, diseño palabra de honor.</p>
<p>Incluye tirantes a juego.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";S,M,L;Rojo,Rosa,Azul,Lila;15.90;19.24;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10957.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-109_2.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-109_3.jpg;Lencería Finíssima;2015-02-17 15:33:25
Activo;LFNSSM-B-110;Bikini black and white;Verano,Bikinis;"Bikini dos colores en uno.";"<p>Bikini negro con braguita.  </p>
<p>Sensacional bikini sin aro, diseño palabra de honor.</p>
<p>Incluye tirantes a juego.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";S,M,L;;16.50;19.97;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1103.jpg;Lencería Finíssima;2015-02-16 18:20:31
Activo;LFNSSM-B-112;Bikini estampado;Verano,Bikinis;"Bikini estampado con hebilla dorada en la parte central del pecho.";"<p>Bikini estampado con braguita.  </p>
<p>Sensacional bikini con aro y tirantes que se enganchan al cuello en forma de V.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";S,M,L;Marrón,Rosa,Verde;16.50;19.97;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-112.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1121.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1122.jpg;Lencería Finíssima;2015-03-02 20:22:36
Activo;LFNSSM-B-115;Bikini tres tiras;Verano,Bikinis;"Bikini estupendo para pasar un verano inolvidable.";"<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Bikini tres tiras con braguita.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Sensacional bikini con aro y tirantes triples que se enganchan al cuello en forma de V.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">79% Naylon.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">21% Elastano.</p>";S,M,L;Negro,Rojo,Blanco,Verde;15.00;18.15;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1156.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-115_2.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-115_3.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-115_4.jpg;Lencería Finíssima;2015-02-17 15:29:17
Activo;LFNSSM-B-117;Bikini diamante;Verano,Bikinis;"Bikini diamante en tres colores.";"<p>Bikini diamante con braguita.  </p>
<p>Sensacional bikini sin aro diseño palabra de honor.</p>
<p>Incluye tirantes a juego.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";S,M,L;;16.50;19.97;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-117.jpg;Lencería Finíssima;2015-04-21 15:00:32
Activo;LFNSSM-B-118;Bañador con flecos;Verano,Bikinis;"Bañador con flecos diseñado en varios colores.";"<p>Bañador flecos con braguita.  </p>
<p>Sensacional bañador sin aros y tirantes que se enganchan al cuello en forma de V.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";S,M,L;Azul Claro,Rosa,Blanco,Azul,Verde,Negro;15.00;18.15;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-11831.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-118_2.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-118_4.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-118_5.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-118_3.jpg,http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-118_6.jpg;Lencería Finíssima;2015-02-17 15:26:08
